Year,Units,Series,Time series,Kategorie der letzten Verwendung,Rohstoffkategorie,Value
2019,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,Biotische Rohstoffe,388.0
2020,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,Biotische Rohstoffe,400.0
2021,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,Biotische Rohstoffe,408.0
2010,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Fossile Energieträger,330.0
2011,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Fossile Energieträger,342.0
2012,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Fossile Energieträger,341.0
2013,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Fossile Energieträger,346.0
2014,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Fossile Energieträger,353.0
2015,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Fossile Energieträger,373.0
2016,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Fossile Energieträger,377.0
2017,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Fossile Energieträger,384.0
2018,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Fossile Energieträger,415.0
2019,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Fossile Energieträger,382.0
2020,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Fossile Energieträger,361.0
2021,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Fossile Energieträger,388.0
2030,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Fossile Energieträger,
2010,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Erze,710.0
2011,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Erze,757.0
2012,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Erze,743.0
2013,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Erze,758.0
